Site,Latitude,Longitude,Date,Air Temperature (CÂ°),Air Temperature Uncertainty (CÂ°),Wind Direction at 3m (Â°N),Wind Direction at 3m Uncertainty (Â°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI(Computed)
Al Baha - University,20.1794,41.6357,1/5/2019 0:00,24.1,0.5,0,0,0,0,0,2557.729545,2730.5,769.9,680.1,4082.4,1222.5,1702.6,5895.8,1361.4,870.3,0,0,34.4,3,834.7,4.2,1712.738874
Al Baha - University,20.1794,41.6357,1/6/2019 0:00,29.1,0.5,0,0,0,0,0,2557.729545,2752.9,681.9,418.1,4397.7,1139,1450.2,6252.5,1370.9,884.4,0,0,18.4,3,833.2,4.2,1821.870934
Al Baha - University,20.1794,41.6357,1/7/2019 0:00,29.9,0.5,0,0,0,0,0,2557.729545,2950.1,108.9,556.3,4929.2,230.4,1530.2,6914.6,227.2,713.1,0,0,16.4,3,831.3,4.2,2011.036278
Al Baha - University,20.1794,41.6357,1/8/2019 0:00,27.8,0.5,0,0,0,0,0,2557.729545,2624.2,90.5,561.1,4751.7,195,1721.6,6362,207.8,1009,0,0,28.3,3,832.4,4.2,1948.997192
Al Baha - University,20.1794,41.6357,1/9/2019 0:00,28.4,0.5,0,0,0,0,0,2557.729545,2286.3,121.8,591.6,6008.3,226.9,1783.1,6709.8,230.2,727.1,0,0,17.1,3,833.5,4.2,2392.767572
Al Baha - University,20.1794,41.6357,1/10/2019 0:00,23.9,0.5,0,0,0,0,0,2557.729545,1698.9,75.4,417.1,6532.6,224,1295,6017.5,217,546,0,0,27.1,3,835.5,4.2,2578.912318
Al Baha - University,20.1794,41.6357,1/11/2019 0:00,19.3,0.5,0,0,0,0,0,2557.729545,1546,65,419.7,5047.1,249.3,2571.2,4554.2,191,1374,0,0,47.2,3.1,835.2,4.3,2053.132484
Al Baha - University,20.1794,41.6357,1/12/2019 0:00,17.2,0.5,0,0,0,0,0,2557.729545,1302.9,46.1,402.6,6612.5,225.4,1685.1,4915.2,146.9,501.4,0,0,49.4,3,835.6,4.2,2609.516016
Al Baha - University,20.1794,41.6357,1/1/2020 0:00,15.2,0.5,185,3.7,0.4,0,1.1,2557.729545,1087.9,322.2,569.1,7888.5,1769.3,1980.9,5450.1,1085,556.7,11.5,0,41.3,3,835.8,4.2,3060.814658
Al Baha - University,20.1794,41.6357,1/2/2020 0:00,18.2,0.5,198,4,3.3,0.1,2.2,2557.729545,1902.6,602.2,618,6379,1666.7,1569.2,5930.5,1269.9,614.8,18.9,0.1,39.4,3,835.8,4.2,2527.181867
Al Baha - University,20.1794,41.6357,1/3/2020 0:00,20.2,0.5,209,4,3.1,0.1,2,2557.729545,2099.5,552.9,693.4,6879.2,1639.2,1775.1,6950,1427.5,603,17.6,0.1,34,3,833.9,4.2,2704.633188
Al Baha - University,20.1794,41.6357,1/4/2020 0:00,22.8,0.6,213,4.7,3,0.1,1.7,2557.729545,2117.6,779.7,814.8,6560.4,2111.7,2699.9,6931.5,1826,1226.4,15.7,0.1,37.2,3.5,834.1,4.9,2592.302479
Al Baha - University,20.1794,41.6357,1/9/2020 0:00,27.6,0.5,73,4,2.6,0.1,1.6,2557.729545,2028.7,628.9,579,6740.8,1616.4,1850.8,6908,1429.6,719.3,16,0.1,16,3,833.4,4.2,2652.0318
Al Baha - University,20.1794,41.6357,1/10/2020 0:00,22.9,0.5,89,4,2.5,0.1,1.5,2557.729545,1150.5,319.5,284.6,8582.6,1768.3,976.7,6661.9,1313,380.5,13.3,0.1,15.4,3,835.9,4.2,3303.683055
Al Baha - University,20.1794,41.6357,1/11/2020 0:00,20.3,0.5,174,4,2.1,0,1.4,2557.729545,1240.5,452.5,496,6777.1,1720.8,2370.1,5160.2,1177.4,953.7,12.5,0.1,38.4,3,836,4.2,2666.044331
Al Baha - University,20.1794,41.6357,1/12/2020 0:00,17.7,0.5,183,4,2.2,0.1,1.5,2557.729545,1066.2,297.2,302.6,7527.1,1658.6,1165.1,5136.3,1029.6,308.8,12.5,0.1,43.2,3,836,4.2,2932.900644
Al Baha - University,20.1794,41.6357,1/1/2021 0:00,16.4,0.5,163,4,2.3,0.1,1.7,2557.729545,1257.3,357.2,522.8,7177.5,1674.7,1834.7,5303.7,1102.7,577.2,14.7,0.1,37.8,3,835.7,4.2,2807.931112
Al Baha - University,20.1794,41.6357,1/2/2021 0:00,17.6,0.5,187,4,3.2,0.1,2.2,2557.729545,1576.4,464.1,549.4,6719.2,1687.3,1993.8,5788.4,1200.6,721.3,17.6,0.1,39.8,3,834.9,4.2,2646.58206
Al Baha - University,20.1794,41.6357,1/9/2021 0:00,27.8,0.5,71,3.7,2.7,0.1,1.7,2557.729545,2401.5,707.7,654.8,5279.2,1392.1,1581.6,6325.3,1399.3,677.8,15.5,0.1,18.5,3,833,4.1,2133.918389
Al Baha - University,20.1794,41.6357,1/10/2021 0:00,24,0.5,98,3.7,2.8,0.1,1.9,2557.729545,1513.4,79.4,523.3,7088,273.1,1798.2,6161.8,229.1,714.1,15.5,0.1,21,3,835.9,4.2,2774.664799
Al Baha - University,20.1794,41.6357,1/11/2021 0:00,20.3,0.5,145,4,2.2,0,1.5,2557.729545,1123.8,53.1,312.8,7609,311.6,1029.8,5526.5,225.6,403.4,14.9,0.1,30.8,3,836,4.2,2960.007416
Al Baha - University,20.1794,41.6357,1/12/2021 0:00,17.6,0.5,174,4,2.4,0.1,1.7,2557.729545,989.7,38,344.8,7569.3,254.2,1752.4,5053.8,158.3,719.3,16.3,0.1,35.9,3,836.1,4.2,2946.064051
